Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
21,H,7,SMU_1764c,BsaI,Payload_1,Tag_79,Tag_121,1606,24380132,SMU.1764c,VIMSS296435,1028998,Y,Y,Y,N,1.706,12.08667,0.29418701776563,8.06,True,True,True,True,True,True,True,True,True,True
21,B,8,SMU_1765c,BsaI,Payload_1,Tag_99,Tag_104,1607,24380133,SMU.1765c,VIMSS296436,1028981,Y,Y,Y,N,1.733,19.17,0.325114493825354,7.16,True,True,True,True,True,True,True,True,True,True
21,D,8,SMU_1766c,BsaI,Payload_1,Tag_91,Tag_127,1608,24380134,SMU.1766c,VIMSS296437,1028985,Y,Y,Y,N,1.687,22.08861,0.29065218804863,8.03,True,True,True,True,True,True,True,True,True,True
21,E,8,SMU_1767c,BsaI,Payload_1,Tag_125,Tag_147,1609,24380135,SMU.1767c,VIMSS296438,1028986,Y,Y,N,?,1.619,23.75333,0.29058193199569,6.98,True,True,True,True,True,True,True,True,True,True
21,F,8,SMU_1768c,BsaI,Payload_1,Tag_24,Tag_156,1610,24380136,SMU.1768c,VIMSS296439,1028987,Y,Y,Y,N,1.714,23.75333,0.309709131289487,7.22,True,True,True,True,True,True,True,True,True,True
21,H,8,SMU_1770,BsaI,Payload_1,Tag_38,Tag_93,1611,,,,,Y,Y,Y,N,1.681,22.50333,0.324952081036167,7.18,True,True,True,True,True,True,True,True,True,True
21,A,9,SMU_1771c,BsaI,Payload_1,Tag_16,Tag_45,1612,24380138,SMU.1771c,VIMSS296441,1028990,Y,Y,Y,N,1.681,11.67,0.270315507021183,8.36,True,True,True,True,True,True,True,True,True,True
21,B,9,SMU_1772c,BsmBI/Esp3I,Payload_5,Tag_110,Tag_159,1613,24380139,SMU.1772c,VIMSS296442,1028988,Y,Y,N,?,1.675,19.17,0.303327081344162,7.43,True,True,True,True,True,True,True,True,True,True
21,C,9,SMU_1773c,BbsI,Payload_3,Tag_10,Tag_126,1614,24380140,SMU.1773c,VIMSS296443,1028983,Y,Y,Y,N,1.691,22.08861,0.280116469500008,8.51,True,True,True,True,True,True,True,True,True,True
21,E,9,SMU_1774c,BsaI,Payload_1,Tag_12,Tag_103,1615,24380141,SMU.1774c,VIMSS296444,1028982,Y,Y,N,?,1.693,11.67,0.298133789156932,8.33,True,True,True,True,True,True,True,True,True,True
