Unnamed: 0,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
2285,24,F,10,SMU_2031,BsaI,Payload_1,Tag_121,Tag_126,1849,,,,,N,N,N,Y,0.116,3.75306,1.12476817101072e-22,1.66972,False,False,False,False,False,False,False,False,False,False
2286,24,G,10,SMU_2032,BsaI,Payload_1,Tag_56,Tag_135,1850,,,,,N,N,N,?,0.114,5.83667,3.30652943566975e-17,1.66972,False,False,False,False,False,False,False,False,False,False
2336,25,A,5,SMU_2078c,BsaI,Payload_1,Tag_53,Tag_123,1889,24380413.0,SMU.2078c,VIMSS296716,1029249.0,N,N,Y,N,0.11,19.16972,2.44076017821916e-15,1.67,False,False,False,True,False,False,False,False,False,False
2337,25,B,5,SMU_2079c,BsaI,Payload_1,Tag_10,Tag_101,1890,24380414.0,SMU.2079c,VIMSS296717,1029258.0,N,?,Y,N,1.673,20.42,0.332756381932108,16.11,False,False,True,True,True,True,False,False,True,True
2344,25,A,6,SMU_2085,BsaI,Payload_1,Tag_67,Tag_175,1895,,,,,N,N,Y,N,0.098,19.16972,-1.28663472191051e-25,1.67,False,False,False,True,False,False,False,False,False,False
2347,25,D,6,SMU_2088,BsaI,Payload_1,Tag_61,Tag_148,1898,,,,,N,N,Y,N,0.124,6.25306,5.48457397462824e-19,1.67,False,False,False,False,False,False,False,False,False,False
2353,25,B,7,SMU_2093,BsaI,Payload_1,Tag_167,Tag_190,1903,,,,,N,N,N,?,1.721,19.58639,0.338730236811935,8.14,False,False,True,True,True,True,False,False,True,True
2357,25,F,7,SMU_2096c,BsaI,Payload_1,Tag_69,Tag_179,1905,24380429.0,SMU.2096c,VIMSS296732,1029275.0,Y,N,Y,N,1.725,21.25333,0.295089177898339,8.38,True,False,True,True,True,True,False,True,True,True
2360,25,A,8,SMU_2098,BsaI,Payload_2,Tag_140,Tag_150,1907,24380431.0,SMU.2098,VIMSS296734,1029273.0,N,Y,N,Y,0.107,8.75306,2.3866690622517e-24,1.67,False,True,False,True,False,False,False,False,False,False
2400,26,A,1,SMU_2135c,BsaI,Payload_1,Tag_126,Tag_151,1941,24380465.0,SMU.2135c,VIMSS296768,1029300.0,N,N,N,?,0.092,3.75306,-1.70103121042631e-21,1.67,False,False,False,False,False,False,False,False,False,False
2401,26,B,1,SMU_2136c,BsaI,Payload_1,Tag_6,Tag_93,1942,24380466.0,SMU.2136c,VIMSS296769,1029311.0,N,N,N,Y,0.097,14.17,8.20358579048437e-29,1.67,False,False,False,True,False,False,False,False,False,False
2403,26,D,1,SMU_2138,BbsI,Payload_3,Tag_13,Tag_126,1944,,,,,N,N,N,Y,0.101,18.33639,6.45164369282849e-23,1.67,False,False,False,True,False,False,False,False,False,False
2404,26,E,1,SMU_2139c,BbsI,Payload_3,Tag_62,Tag_110,1945,24380469.0,SMU.2139c,VIMSS296772,1029314.0,N,N,Y,N,0.113,18.33639,1.09999519857623e-20,1.67,False,False,False,True,False,False,False,False,False,False
2408,26,A,2,SMU_2143c,BsaI,Payload_1,Tag_90,Tag_152,1949,24380473.0,SMU.2143c,VIMSS296776,1029315.0,N,N,N,Y,0.097,10.83667,-1.42616091522114e-17,1.67,False,False,False,True,False,False,False,False,False,False
2413,26,F,2,SMU_2149c,BbsI,Payload_3,Tag_57,Tag_157,1953,24380477.0,SMU.2149c,VIMSS296780,1029326.0,Y,N,N,?,0.699,24.16972,0.184185125781586,23.75,True,False,True,True,True,False,False,False,True,True
2414,26,G,2,SMU_2150c,BsaI,Payload_1,Tag_53,Tag_132,1954,24380478.0,SMU.2150c,VIMSS296781,1029324.0,Y,N,N,?,0.194,24.16972,0.0662620266573504,23.75,True,False,False,True,False,False,False,False,False,False
2415,26,H,2,SMU_2151,BsaI,Payload_1,Tag_145,Tag_189,1955,,,,,N,N,N,Y,0.1,14.17,-6.795882853023159e-22,1.67,False,False,False,True,False,False,False,False,False,False
2421,26,F,3,SMU_2157,BsaI,Payload_1,Tag_22,Tag_99,1961,,,,,N,N,N,?,0.108,14.58639,2.38754344106816e-17,1.67,False,False,False,True,False,False,False,False,False,False
2422,26,G,3,SMU_2158c,BsmBI/Esp3I,Payload_5,Tag_103,Tag_142,1962,24380486.0,SMU.2158c,VIMSS296789,1029333.0,N,N,N,?,0.106,14.17,3.82549742775966e-24,1.67,False,False,False,True,False,False,False,False,False,False
